Run ID,Curriculum Lesson,Exit Count
"[256, 2]",Lesson 1,11253
"[256, 2]",Lesson 2,4566
"[256, 2]",Lesson 3,10328
"[256, 2]",Lesson 4,3377
"[256, 2]",Lesson 5,1203
"[256, 2]",Lesson 6,1223
"[256, 3]",Lesson 1,12186
"[256, 3]",Lesson 2,854
"[256, 3]",Lesson 3,8225
"[256, 3]",Lesson 4,2844
"[256, 3]",Lesson 5,906
"[256, 3]",Lesson 6,1267
"[512, 2]",Lesson 1,10183
"[512, 2]",Lesson 2,7079
"[512, 2]",Lesson 3,9258
"[512, 2]",Lesson 4,4178
"[512, 2]",Lesson 5,885
"[512, 2]",Lesson 6,1025
"[512, 3]",Lesson 1,12222
"[512, 3]",Lesson 2,5088
"[512, 3]",Lesson 3,12829
"[512, 3]",Lesson 4,4928
"[512, 3]",Lesson 5,1101
"[512, 3]",Lesson 6,1115
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
