Wall time,Step,Value
1681051656.2456033,100000,2.114520788192749
1681051772.9018137,200000,1.5639585256576538
1681051891.684216,300000,1.1438826322555542
1681052009.0288203,400000,0.9553279876708984
1681052127.7785146,500000,0.8487274646759033
1681052247.7121105,600000,0.8184845447540283
1681052366.5316296,700000,0.789109468460083
1681052483.372026,800000,0.7404370903968811
1681052602.3846803,900000,0.6594277024269104
1681052722.368949,1000000,0.6454344987869263
1681052838.9727561,1100000,1.0804698467254639
1681052950.7417624,1200000,0.9786657094955444
1681053068.6017616,1300000,0.8235476016998291
1681053185.9004064,1400000,0.6848080158233643
1681053301.8301299,1500000,0.6017239093780518
1681053420.7973235,1600000,0.6502159833908081
1681053540.8268166,1700000,0.5769309997558594
1681053661.0082421,1800000,0.5946947932243347
1681053778.9117665,1900000,0.6080359220504761
1681053898.9905045,2000000,0.547446608543396
1681054019.1643121,2100000,0.5947511196136475
1681054139.5521634,2200000,0.6118910312652588
1681054256.154127,2300000,0.6113418340682983
1681054375.4017298,2400000,0.6002683043479919
1681054494.708271,2500000,0.5903019309043884
1681054612.0357468,2600000,0.594612717628479
1681054730.680646,2700000,0.5646836757659912
1681054850.0257266,2800000,0.5472581386566162
1681054968.9858513,2900000,0.5819800496101379
1681055085.8207662,3000000,0.5531822443008423
1681055205.8024094,3100000,0.5393452644348145
1681055324.4099407,3200000,0.6078877449035645
1681055442.827417,3300000,0.6403505802154541
1681055559.244997,3400000,0.5917955636978149
1681055678.8140695,3500000,0.6097927093505859
1681055797.8707268,3600000,0.5915590524673462
1681055916.077161,3700000,0.5974506139755249
1681056034.456756,3800000,0.6610822677612305
1681056153.9127324,3900000,0.6426541805267334
1681056272.8765864,4000000,0.607879102230072
1681056390.1573083,4100000,0.619719386100769
1681056509.875082,4200000,0.6140298843383789
1681056629.913818,4300000,0.6132556200027466
1681056751.1124773,4400000,0.6126209497451782
1681056866.8873138,4500000,0.6773004531860352
1681056986.8850815,4600000,0.6329415440559387
1681057105.2387931,4700000,0.6315228939056396
1681057222.5682366,4800000,0.6140995621681213
1681057342.7591555,4900000,0.5439107418060303
1681057462.1754415,5000000,0.5711866617202759
1681057583.5216084,5100000,0.5728563070297241
1681057702.8065555,5200000,0.5582329630851746
1681057824.2896793,5300000,0.5442082285881042
1681057944.5563917,5400000,0.5892466306686401
1681058065.4199407,5500000,0.5189098119735718
1681058182.5088933,5600000,0.5662637948989868
1681058303.4881494,5700000,0.5123295187950134
1681058425.1366966,5800000,0.5062620639801025
1681058547.160598,5900000,0.509226381778717
1681058664.160315,6000000,0.4948200285434723
1681058785.9615872,6100000,0.48606353998184204
1681058907.4765866,6200000,0.4847620725631714
1681059027.7750983,6300000,0.4372223913669586
1681059150.852789,6400000,0.4366782605648041
1681059272.5953765,6500000,0.4186599552631378
1681059396.4303472,6600000,0.4104316830635071
1681059516.3631182,6700000,0.41471871733665466
1681059637.5675402,6800000,0.4047681391239166
1681059759.5921972,6900000,0.37863394618034363
1681059882.258658,7000000,0.3693666458129883
1681060002.1808426,7100000,0.3698529303073883
1681060124.6687264,7200000,0.402730792760849
1681060248.5669358,7300000,0.36885613203048706
1681060369.7944243,7400000,0.36180222034454346
1681060492.2672656,7500000,0.3696903884410858
1681060615.21927,7600000,0.38504892587661743
1681060736.9185019,7700000,0.36481496691703796
1681060858.182312,7800000,0.34676215052604675
1681060982.9148583,7900000,0.33517977595329285
1681061106.0665114,8000000,0.3250158429145813
1681061229.965892,8100000,0.3293636739253998
1681061352.7224743,8200000,0.3383391499519348
1681061476.251976,8300000,0.3328774869441986
1681061600.6830742,8400000,0.30318182706832886
1681061726.4940557,8500000,0.2909509539604187
1681061848.5110557,8600000,0.2822185158729553
1681061971.922038,8700000,0.2654034495353699
1681062097.1161225,8800000,0.28131625056266785
1681062219.4053264,8900000,0.27117958664894104
1681062343.3223174,9000000,0.27492448687553406
1681062467.314183,9100000,0.23916402459144592
1681062591.8520164,9200000,0.24028277397155762
1681062715.9517748,9300000,0.2617603838443756
1681062840.7036955,9400000,0.2596719563007355
1681062965.5255299,9500000,0.2556949555873871
1681063090.312572,9600000,0.27745431661605835
1681063213.1823955,9700000,0.2787914276123047
1681063337.31993,9800000,0.26084476709365845
1681063462.1795535,9900000,0.2543858289718628
1681063585.767874,10000000,0.2215026170015335
